Count,sender,sender_id,receiver,receiver_id,amount,currency,Mt,year,direction,category,send region,receiver region,mx/mt
392,Dubai Islamic Bank,DIBDMEA5E82,Dubai Islamic Bank,DIBDMEA5E82,23279.75,EUR,MT910,2021,Outgoing,Retail Payment,Middle East,Middle East,MT
393,Dubai Islamic Bank,DIBDMEA5E82,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,292926.21,USD,MT700,2015,Outgoing,Investment,Middle East,Middle East,MT
394,Barclays,BBARCAJJO3R,Emirates NBD,ENEMMEA6RXO,51306.46,EUR,MT202,2015,Incoming,FX Settlement,Caribbean,Middle East,MT
395,HSBC,HSBCSAJE8V3,Abu Dhabi Commercial Bank,ADCBMEAD03P,95987.3,USD,MT202,2021,Outgoing,Retail Payment,South Asia,Middle East,MT
396,Dubai Islamic Bank,DIBDMEA5E82,BNP Paribas,BPBNSAGC7SV,515946.99,AED,MT103,2021,Outgoing,Investment,Middle East,Latin America,MT
397,Royal Bank of Canada,RBOCAPJ0UHW,Goldman Sachs,GSGOAPYB7P0,203182.08,USD,MT940,2017,Outgoing,FX Settlement,Asia Pacific,Latin America,MT
398,UBS,UBSXCAE3O4P,Dubai Islamic Bank,DIBDMEA5E82,8058.25,GBP,MT760,2022,Incoming,FX Settlement,Caribbean,Middle East,MT
399,Wells Fargo,WFWENAPH7O1,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,6971.04,USD,MT910,2018,Outgoing,Interbank Settlement,North America,Middle East,MT
400,Barclays,BBARCAJJO3R,Abu Dhabi Commercial Bank,ADCBMEAD03P,3969.24,EUR,MT940,2015,Incoming,Corporate Payment,Caribbean,Middle East,MT
401,HSBC,HSBCSAJE8V3,United Arab Bank,UABUMEAPCIA,8222.54,USD,MT103,2017,Incoming,Treasury Operations,South Asia,Middle East,MT
402,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Commercial Bank of Dubai,CBODMEA7WUU,219173.0,JPY,MT950,2019,Incoming,FX Settlement,Asia Pacific,Middle East,MT
403,Standard Chartered,SCSTSAJOP2N,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,6077.36,USD,MT103,2016,Outgoing,Retail Payment,South Asia,Middle East,MT
404,HSBC,HSBCSAJE8V3,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,101302.13,EUR,MT202,2015,Outgoing,Retail Payment,South Asia,Middle East,MT
405,Industrial and Commercial Bank of China,IACBCASEWNX,Commercial Bank of Dubai,CBODMEA7WUU,39564.89,USD,MT202,2022,Outgoing,Corporate Payment,Caribbean,Middle East,MT
406,UBS,UBSXCAE3O4P,Abu Dhabi Islamic Bank,ADIBMEAAD1L,18866.96,USD,MT700,2023,Outgoing,Treasury Operations,Caribbean,Middle East,MT
407,Abu Dhabi Commercial Bank,ADCBMEAD03P,Emirates NBD,ENEMMEA6RXO,39996.72,USD,MT760,2016,Outgoing,Retail Payment,Middle East,North America,MT
408,UBS,UBSXCAE3O4P,Emirates NBD,ENEMMEA6RXO,27906.81,USD,MT950,2022,Outgoing,Interbank Settlement,Caribbean,Middle East,MT
409,JPMorgan Chase,JCJPCSPOOGD,Bank of China,BOCBLAUE3HB,148160.2,USD,MT940,2016,Outgoing,Treasury Operations,Central Asia,Europe,MT
410,First Abu Dhabi Bank,FADBMEA2699,Dubai Islamic Bank,DIBDMEA5E82,5673938.0,JPY,MT950,2020,Outgoing,Trade Finance,Middle East,Middle East,MT
411,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Citibank,CCITCSAWGWT,94505.38,USD,MT950,2015,Incoming,Loan Disbursement,Asia Pacific,Africa,MT
412,JPMorgan Chase,JCJPCSPOOGD,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,243623.64,AUD,MT760,2020,Outgoing,Interbank Settlement,Central Asia,Middle East,MT
413,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Emirates NBD,ENEMMEA6RXO,13454.55,USD,MT103,2021,Outgoing,Investment,Asia Pacific,Middle East,MT
414,Royal Bank of Canada,RBOCAPJ0UHW,Abu Dhabi Commercial Bank,ADCBMEAD03P,40827.01,GBP,MT799,2019,Outgoing,Investment,Asia Pacific,Latin America,MT
415,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Emirates NBD,ENEMMEA6RXO,13287.53,EUR,MT940,2018,Incoming,Trade Finance,Asia Pacific,Middle East,MT
416,Morgan Stanley,MSMOAFSRT5V,Emirates NBD,ENEMMEA6RXO,4956.6,CAD,MT760,2018,Incoming,Investment,Africa,Southeast Asia,MT
417,Bank of China,BOCBLAUE3HB,Mashreq Bank,MBMAMEAE4ZY,42519.31,USD,MT799,2020,Incoming,Retail Payment,Latin America,North America,MT
418,Credit Suisse,CSCREUD3JR5,Abu Dhabi Commercial Bank,ADCBMEAD03P,22684.22,USD,MT940,2021,Incoming,FX Settlement,Europe,Middle East,MT
419,Citibank,CCITCSAWGWT,Abu Dhabi Islamic Bank,ADIBMEAAD1L,860.63,USD,MT950,2020,Incoming,Retail Payment,Central Asia,Middle East,MT
420,First Abu Dhabi Bank,FADBMEA2699,Abu Dhabi Islamic Bank,ADIBMEAAD1L,3231738.0,JPY,MT700,2020,Outgoing,FX Settlement,Middle East,Middle East,MT
421,Citibank,CCITCSAWGWT,Credit Suisse,CSCREUD3JR5,26381.61,GBP,MT799,2023,Outgoing,Interbank Settlement,Central Asia,Caribbean,MT
422,Bank of America,BOABAPYTBUG,Sharjah Islamic Bank,SIBSMEAWAQ7,27581.42,SGD,MT940,2021,Outgoing,FX Settlement,Asia Pacific,Middle East,MT
423,Wells Fargo,WFWENAPH7O1,Emirates NBD,ENEMMEA6RXO,3326.76,USD,MT202,2019,Outgoing,Corporate Payment,North America,Caribbean,MT
424,First Abu Dhabi Bank,FADBMEA2699,Morgan Stanley,MSMOAFSRT5V,7427.46,EUR,MT760,2022,Outgoing,Loan Disbursement,Middle East,Latin America,MT
425,Emirates NBD,ENEMMEA6RXO,Emirates NBD,ENEMMEA6RXO,57398.69,USD,MT760,2016,Outgoing,Loan Disbursement,Middle East,Middle East,MT
426,Dubai Islamic Bank,DIBDMEA5E82,Abu Dhabi Commercial Bank,ADCBMEAD03P,11581.51,GBP,MT202,2017,Outgoing,Interbank Settlement,Middle East,Middle East,MT
427,Emirates NBD,ENEMMEA6RXO,RAK Bank,RBRAMEAANF7,1679.06,EUR,MT799,2018,Incoming,Treasury Operations,Middle East,Middle East,MT
428,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Abu Dhabi Commercial Bank,ADCBMEAD03P,24700.82,EUR,MT910,2019,Outgoing,Loan Disbursement,Asia Pacific,Middle East,MT
429,Deutsche Bank,DBDEAFDWKG7,RAK Bank,RBRAMEAANF7,43122.17,USD,MT910,2015,Outgoing,FX Settlement,Africa,Middle East,MT
430,Bank of China,BOCBLAUE3HB,RAK Bank,RBRAMEAANF7,141044.78,AED,MT202,2021,Incoming,Trade Finance,Latin America,Middle East,MT
431,Standard Chartered,SCSTSAJOP2N,National Bank of Fujairah,NBOFMEAE56L,4811.05,GBP,MT700,2020,Outgoing,FX Settlement,South Asia,Middle East,MT
432,Barclays,BBARCAJJO3R,Dubai Islamic Bank,DIBDMEA5E82,582817.8,AED,MT760,2017,Outgoing,Investment,Caribbean,South Asia,MT
433,BNP Paribas,BPBNSAGC7SV,Emirates NBD,ENEMMEA6RXO,114510.94,AED,MT910,2019,Incoming,Trade Finance,South Asia,Middle East,MT
434,Bank of America,BOABAPYTBUG,Deutsche Bank,DBDEAFDWKG7,3623.88,USD,MT760,2019,Incoming,Corporate Payment,Asia Pacific,Latin America,MT
435,Bank of China,BOCBLAUE3HB,United Arab Bank,UABUMEAPCIA,5273.27,EUR,MT760,2018,Outgoing,Treasury Operations,Latin America,Middle East,MT
436,Credit Suisse,CSCREUD3JR5,Commercial Bank of Dubai,CBODMEA7WUU,6456.68,USD,MT700,2015,Incoming,Retail Payment,Europe,Middle East,MT
437,BNP Paribas,BPBNSAGC7SV,Emirates NBD,ENEMMEA6RXO,7356.87,USD,MT700,2020,Outgoing,Loan Disbursement,South Asia,Middle East,MT
438,Dubai Islamic Bank,DIBDMEA5E82,Emirates NBD,ENEMMEA6RXO,116203.25,AED,MT760,2016,Outgoing,Interbank Settlement,Middle East,Middle East,MT
439,Wells Fargo,WFWENAPH7O1,Dubai Islamic Bank,DIBDMEA5E82,6594.83,CAD,MT910,2017,Incoming,FX Settlement,North America,Middle East,MT
440,Bank of America,BOABAPYTBUG,Mashreq Bank,MBMAMEAE4ZY,247539.11,AED,MT950,2022,Outgoing,Treasury Operations,Asia Pacific,Middle East,MT
441,Goldman Sachs,GSGOAPYB7P0,First Abu Dhabi Bank,FADBMEA2699,15884.07,CHF,MT202,2023,Incoming,Treasury Operations,Asia Pacific,Middle East,MT
442,Bank of America,BOABAPYTBUG,Abu Dhabi Islamic Bank,ADIBMEAAD1L,3538.66,EUR,MT940,2019,Incoming,Interbank Settlement,Asia Pacific,Middle East,MT
443,Barclays,BBARCAJJO3R,National Bank of Fujairah,NBOFMEAE56L,67450.65,USD,MT910,2018,Outgoing,Retail Payment,Caribbean,Middle East,MT
444,Mashreq Bank,MBMAMEAE4ZY,First Abu Dhabi Bank,FADBMEA2699,1635.87,EUR,MT700,2021,Outgoing,FX Settlement,Middle East,Middle East,MT
445,Bank of America,BOABAPYTBUG,HSBC,HSBCSAJE8V3,91604.67,EUR,MT103,2023,Outgoing,Treasury Operations,Asia Pacific,South Asia,MT
446,First Abu Dhabi Bank,FADBMEA2699,Mashreq Bank,MBMAMEAE4ZY,10715.36,USD,MT799,2019,Incoming,Trade Finance,Middle East,Middle East,MT
447,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Commercial Bank of Dubai,CBODMEA7WUU,7352.02,USD,MT700,2023,Incoming,Retail Payment,Asia Pacific,Middle East,MT
448,Bank of America,BOABAPYTBUG,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,4746.71,USD,MT700,2017,Outgoing,Interbank Settlement,Asia Pacific,Middle East,MT
449,Standard Chartered,SCSTSAJOP2N,Abu Dhabi Islamic Bank,ADIBMEAAD1L,290912.75,AED,MT950,2023,Outgoing,Retail Payment,South Asia,Middle East,MT
450,Bank of China,BOCBLAUE3HB,United Arab Bank,UABUMEAPCIA,31397.67,SGD,MT760,2015,Outgoing,FX Settlement,Latin America,Middle East,MT
451,Royal Bank of Canada,RBOCAPJ0UHW,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,7629.99,EUR,MT202,2015,Incoming,Retail Payment,Asia Pacific,South Asia,MT
452,Credit Suisse,CSCREUD3JR5,Emirates NBD,ENEMMEA6RXO,31034.81,CAD,MT202,2022,Incoming,Trade Finance,Europe,Middle East,MT
453,Bank of China,BOCBLAUE3HB,Dubai Islamic Bank,DIBDMEA5E82,4678.51,EUR,MT103,2019,Outgoing,Loan Disbursement,Latin America,Middle East,MT
454,Bank of America,BOABAPYTBUG,Emirates NBD,ENEMMEA6RXO,36143.42,CNY,MT950,2015,Incoming,FX Settlement,Asia Pacific,Middle East,MT
455,BNP Paribas,BPBNSAGC7SV,United Arab Bank,UABUMEAPCIA,14593.62,USD,MT799,2020,Incoming,Trade Finance,South Asia,Middle East,MT
456,Credit Suisse,CSCREUD3JR5,National Bank of Fujairah,NBOFMEAE56L,30655.65,USD,MT910,2021,Incoming,Interbank Settlement,Europe,Middle East,MT
457,Industrial and Commercial Bank of China,IACBCASEWNX,Emirates NBD,ENEMMEA6RXO,43768.05,CNY,MT103,2019,Outgoing,Retail Payment,Caribbean,Middle East,MT
458,Bank of America,BOABAPYTBUG,Dubai Islamic Bank,DIBDMEA5E82,271505.76,USD,MT700,2018,Outgoing,Interbank Settlement,Asia Pacific,Middle East,MT
459,Dubai Islamic Bank,DIBDMEA5E82,Sharjah Islamic Bank,SIBSMEAWAQ7,110535.3,USD,MT950,2019,Outgoing,Treasury Operations,Middle East,Middle East,MT
460,Citibank,CCITCSAWGWT,Wells Fargo,WFWENAPH7O1,37974.84,USD,MT103,2019,Outgoing,Retail Payment,Central Asia,South Asia,MT
461,Barclays,BBARCAJJO3R,First Abu Dhabi Bank,FADBMEA2699,21874.22,GBP,MT760,2021,Outgoing,Corporate Payment,Caribbean,Middle East,MT
462,Goldman Sachs,GSGOAPYB7P0,Standard Chartered,SCSTSAJOP2N,31097.72,USD,MT950,2021,Outgoing,Retail Payment,Asia Pacific,South Asia,MT
463,Goldman Sachs,GSGOAPYB7P0,Morgan Stanley,MSMOAFSRT5V,8150.4,USD,MT760,2017,Incoming,Treasury Operations,Asia Pacific,Europe,MT
464,Abu Dhabi Commercial Bank,ADCBMEAD03P,Emirates NBD,ENEMMEA6RXO,10462.4,CNY,MT799,2015,Outgoing,Interbank Settlement,Middle East,Middle East,MT
465,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,RAK Bank,RBRAMEAANF7,6515.89,EUR,MT700,2019,Incoming,Treasury Operations,Asia Pacific,Middle East,MT
466,Mashreq Bank,MBMAMEAE4ZY,Abu Dhabi Islamic Bank,ADIBMEAAD1L,89140.55,CNY,MT799,2015,Incoming,Investment,Middle East,Middle East,MT
467,Dubai Islamic Bank,DIBDMEA5E82,Abu Dhabi Islamic Bank,ADIBMEAAD1L,215455.32,USD,MT799,2020,Incoming,Corporate Payment,Middle East,Middle East,MT
468,Credit Suisse,CSCREUD3JR5,Barclays,BBARCAJJO3R,10486.34,USD,MT202,2020,Outgoing,Interbank Settlement,Europe,North America,MT
469,Standard Chartered,SCSTSAJOP2N,Abu Dhabi Commercial Bank,ADCBMEAD03P,8398.97,USD,MT760,2018,Outgoing,Retail Payment,South Asia,Middle East,MT
470,HSBC,HSBCSAJE8V3,National Bank of Fujairah,NBOFMEAE56L,1037654.33,AED,MT202,2019,Incoming,FX Settlement,South Asia,Middle East,MT
471,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Sharjah Islamic Bank,SIBSMEAWAQ7,7460.62,USD,MT910,2022,Incoming,Retail Payment,Asia Pacific,Middle East,MT
472,Morgan Stanley,MSMOAFSRT5V,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,24409.13,EUR,MT700,2018,Outgoing,Corporate Payment,Africa,Middle East,MT
473,HSBC,HSBCSAJE8V3,Commercial Bank of Dubai,CBODMEA7WUU,98438.28,GBP,MT103,2018,Outgoing,Interbank Settlement,South Asia,Middle East,MT
474,HSBC,HSBCSAJE8V3,Dubai Islamic Bank,DIBDMEA5E82,100761.7,CNY,MT202,2022,Outgoing,Corporate Payment,South Asia,Middle East,MT
475,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,First Abu Dhabi Bank,FADBMEA2699,13563.2,EUR,MT202,2015,Incoming,Trade Finance,Asia Pacific,Middle East,MT
476,Citibank,CCITCSAWGWT,Emirates NBD,ENEMMEA6RXO,33362.58,USD,MT940,2019,Outgoing,Trade Finance,Central Asia,Middle East,MT
477,Citibank,CCITCSAWGWT,Sharjah Islamic Bank,SIBSMEAWAQ7,118958.51,USD,MT950,2020,Incoming,FX Settlement,Central Asia,Middle East,MT
478,UBS,UBSXCAE3O4P,Abu Dhabi Commercial Bank,ADCBMEAD03P,48975.53,AED,MT202,2023,Outgoing,Interbank Settlement,Caribbean,Middle East,MT
479,Mashreq Bank,MBMAMEAE4ZY,Dubai Islamic Bank,DIBDMEA5E82,272718.22,USD,MT950,2021,Incoming,Trade Finance,Middle East,Middle East,MT
480,Credit Suisse,CSCREUD3JR5,Sharjah Islamic Bank,SIBSMEAWAQ7,38619.89,AED,MT799,2021,Incoming,Loan Disbursement,Europe,Middle East,MT
481,Mashreq Bank,MBMAMEAE4ZY,Dubai Islamic Bank,DIBDMEA5E82,7724.04,USD,MT950,2017,Outgoing,Treasury Operations,Middle East,Middle East,MT
482,Citibank,CCITCSAWGWT,United Arab Bank,UABUMEAPCIA,5073.09,EUR,MT910,2019,Incoming,Loan Disbursement,Central Asia,Middle East,MT
483,Deutsche Bank,DBDEAFDWKG7,Morgan Stanley,MSMOAFSRT5V,24684.55,USD,MT202,2017,Incoming,Trade Finance,Africa,Africa,MT
484,Dubai Islamic Bank,DIBDMEA5E82,RAK Bank,RBRAMEAANF7,67105.66,USD,MT202,2018,Outgoing,Trade Finance,Middle East,Middle East,MT
485,Emirates NBD,ENEMMEA6RXO,National Bank of Fujairah,NBOFMEAE56L,79227.57,CHF,MT799,2023,Outgoing,Corporate Payment,Middle East,Middle East,MT
486,Royal Bank of Canada,RBOCAPJ0UHW,HSBC,HSBCSAJE8V3,10448.75,EUR,MT760,2017,Incoming,Interbank Settlement,Asia Pacific,Caribbean,MT
487,Mashreq Bank,MBMAMEAE4ZY,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,81163.41,AED,MT202,2016,Outgoing,Treasury Operations,Middle East,Middle East,MT
488,BNP Paribas,BPBNSAGC7SV,United Arab Bank,UABUMEAPCIA,325.29,EUR,MT760,2015,Incoming,Loan Disbursement,South Asia,Middle East,MT
489,JPMorgan Chase,JCJPCSPOOGD,Commercial Bank of Dubai,CBODMEA7WUU,3345.06,USD,MT950,2022,Outgoing,Treasury Operations,Central Asia,Middle East,MT
490,Royal Bank of Canada,RBOCAPJ0UHW,Wells Fargo,WFWENAPH7O1,273757.92,AED,MT940,2020,Incoming,Retail Payment,Asia Pacific,Central Asia,MT
491,Standard Chartered,SCSTSAJOP2N,Emirates NBD,ENEMMEA6RXO,3676.64,EUR,MT940,2018,Outgoing,Treasury Operations,South Asia,Middle East,MT
492,Morgan Stanley,MSMOAFSRT5V,RAK Bank,RBRAMEAANF7,23437.1,AED,MT940,2018,Incoming,FX Settlement,Africa,Middle East,MT
493,Standard Chartered,SCSTSAJOP2N,Bank of America,BOABAPYTBUG,6366910.0,JPY,MT799,2016,Outgoing,Trade Finance,South Asia,North America,MT
494,First Abu Dhabi Bank,FADBMEA2699,First Abu Dhabi Bank,FADBMEA2699,22327.12,USD,MT103,2022,Incoming,Treasury Operations,Middle East,Middle East,MT
495,Industrial and Commercial Bank of China,IACBCASEWNX,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,35158.54,EUR,MT910,2019,Outgoing,Treasury Operations,Caribbean,Middle East,MT
496,First Abu Dhabi Bank,FADBMEA2699,Dubai Islamic Bank,DIBDMEA5E82,54735.94,USD,MT940,2018,Outgoing,Trade Finance,Middle East,Middle East,MT
497,Royal Bank of Canada,RBOCAPJ0UHW,Abu Dhabi Commercial Bank,ADCBMEAD03P,197324.96,USD,MT910,2023,Outgoing,Investment,Asia Pacific,Middle East,MT
498,Emirates NBD,ENEMMEA6RXO,Sharjah Islamic Bank,SIBSMEAWAQ7,2804532.0,JPY,MT202,2018,Incoming,Loan Disbursement,Middle East,Middle East,MT
499,Bank of America,BOABAPYTBUG,Abu Dhabi Commercial Bank,ADCBMEAD03P,839091.24,USD,MT940,2020,Outgoing,Investment,Asia Pacific,Middle East,MT
500,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,35843.62,EUR,MT700,2019,Outgoing,Trade Finance,Asia Pacific,Middle East,MT
501,Citibank,CCITCSAWGWT,First Abu Dhabi Bank,FADBMEA2699,22693.26,AED,MT799,2019,Incoming,Corporate Payment,Central Asia,Middle East,MT
502,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Emirates NBD,ENEMMEA6RXO,217964.45,GBP,MT950,2022,Outgoing,Treasury Operations,Asia Pacific,Middle East,MT
503,Royal Bank of Canada,RBOCAPJ0UHW,Abu Dhabi Islamic Bank,ADIBMEAAD1L,42202.49,USD,MT799,2016,Incoming,Trade Finance,Asia Pacific,Middle East,MT
504,Industrial and Commercial Bank of China,IACBCASEWNX,Abu Dhabi Islamic Bank,ADIBMEAAD1L,5588.02,EUR,MT103,2018,Incoming,Trade Finance,Caribbean,Middle East,MT
505,JPMorgan Chase,JCJPCSPOOGD,Bank of China,BOCBLAUE3HB,6544760.0,JPY,MT910,2020,Incoming,Trade Finance,Central Asia,Latin America,MT
506,Citibank,CCITCSAWGWT,National Bank of Fujairah,NBOFMEAE56L,537241.0,JPY,MT103,2021,Outgoing,Interbank Settlement,Central Asia,Middle East,MT
507,Credit Suisse,CSCREUD3JR5,Abu Dhabi Islamic Bank,ADIBMEAAD1L,304461.0,JPY,MT799,2019,Outgoing,Retail Payment,Europe,Middle East,MT
508,Dubai Islamic Bank,DIBDMEA5E82,National Bank of Fujairah,NBOFMEAE56L,59618.45,AED,MT700,2022,Incoming,FX Settlement,Middle East,Middle East,MT
509,Barclays,BBARCAJJO3R,Commercial Bank of Dubai,CBODMEA7WUU,10861.22,AED,MT940,2023,Incoming,Interbank Settlement,Caribbean,Middle East,MT
510,First Abu Dhabi Bank,FADBMEA2699,Abu Dhabi Commercial Bank,ADCBMEAD03P,19325.91,USD,MT799,2016,Incoming,Loan Disbursement,Middle East,Middle East,MT
511,UBS,UBSXCAE3O4P,First Abu Dhabi Bank,FADBMEA2699,8492.65,USD,MT700,2021,Outgoing,Investment,Caribbean,Middle East,MT
512,Morgan Stanley,MSMOAFSRT5V,United Arab Bank,UABUMEAPCIA,2773.37,GBP,MT700,2019,Incoming,Retail Payment,Africa,Middle East,MT
513,HSBC,HSBCSAJE8V3,Emirates NBD,ENEMMEA6RXO,192777.51,USD,MT950,2019,Outgoing,FX Settlement,South Asia,Middle East,MT
514,Barclays,BBARCAJJO3R,National Bank of Fujairah,NBOFMEAE56L,2331.21,EUR,MT799,2021,Incoming,Treasury Operations,Caribbean,Middle East,MT
515,Morgan Stanley,MSMOAFSRT5V,Emirates NBD,ENEMMEA6RXO,4968.37,GBP,MT940,2017,Incoming,Investment,Africa,Middle East,MT
516,Industrial and Commercial Bank of China,IACBCASEWNX,Abu Dhabi Islamic Bank,ADIBMEAAD1L,158253.04,GBP,MT799,2018,Incoming,Corporate Payment,Caribbean,Middle East,MT
517,Standard Chartered,SCSTSAJOP2N,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,5697.56,EUR,MT700,2020,Incoming,FX Settlement,South Asia,Caribbean,MT
518,Barclays,BBARCAJJO3R,United Arab Bank,UABUMEAPCIA,10814417.0,JPY,MT910,2019,Incoming,Corporate Payment,Caribbean,Middle East,MT
519,Mashreq Bank,MBMAMEAE4ZY,Emirates NBD,ENEMMEA6RXO,3932.55,EUR,MT940,2020,Incoming,Investment,Middle East,Middle East,MT
520,Deutsche Bank,DBDEAFDWKG7,Bank of China,BOCBLAUE3HB,31591.31,CNY,MT910,2015,Outgoing,Trade Finance,Africa,Asia Pacific,MT
521,Royal Bank of Canada,RBOCAPJ0UHW,Sharjah Islamic Bank,SIBSMEAWAQ7,311020.61,AED,MT202,2021,Outgoing,Treasury Operations,Asia Pacific,Middle East,MT
522,Bank of America,BOABAPYTBUG,BNP Paribas,BPBNSAGC7SV,3198.7,USD,MT799,2015,Incoming,Interbank Settlement,Asia Pacific,South Asia,MT
523,Barclays,BBARCAJJO3R,Emirates NBD,ENEMMEA6RXO,1461.97,EUR,MT950,2020,Outgoing,Loan Disbursement,Caribbean,Middle East,MT
524,Dubai Islamic Bank,DIBDMEA5E82,Abu Dhabi Commercial Bank,ADCBMEAD03P,54781.28,AED,MT103,2017,Incoming,Investment,Middle East,Middle East,MT
525,Barclays,BBARCAJJO3R,BNP Paribas,BPBNSAGC7SV,29613.27,AED,MT103,2015,Incoming,Treasury Operations,Caribbean,South Asia,MT
526,Bank of China,BOCBLAUE3HB,United Arab Bank,UABUMEAPCIA,33284.0,SGD,MT700,2018,Outgoing,Loan Disbursement,Latin America,Middle East,MT
527,UBS,UBSXCAE3O4P,JPMorgan Chase,JCJPCSPOOGD,1576.1,USD,MT700,2019,Incoming,Retail Payment,Caribbean,Asia Pacific,MT
528,Goldman Sachs,GSGOAPYB7P0,Commercial Bank of Dubai,CBODMEA7WUU,48783.99,EUR,MT940,2019,Incoming,FX Settlement,Asia Pacific,Middle East,MT
529,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,Commercial Bank of Dubai,CBODMEA7WUU,4686.3,USD,MT950,2020,Outgoing,Corporate Payment,Asia Pacific,Middle East,MT
530,Bank of China,BOCBLAUE3HB,Mashreq Bank,MBMAMEAE4ZY,11701305.0,JPY,MT202,2020,Outgoing,Trade Finance,Latin America,Middle East,MT
531,Goldman Sachs,GSGOAPYB7P0,United Arab Bank,UABUMEAPCIA,5319.16,EUR,MT950,2020,Outgoing,Loan Disbursement,Asia Pacific,Middle East,MT
532,Dubai Islamic Bank,DIBDMEA5E82,HSBC,HSBCSAJE8V3,30494.93,GBP,MT940,2017,Outgoing,Treasury Operations,Middle East,Central Asia,MT
533,Abu Dhabi Commercial Bank,ADCBMEAD03P,Goldman Sachs,GSGOAPYB7P0,18371.53,CNY,MT910,2016,Outgoing,FX Settlement,Middle East,Africa,MT
534,Wells Fargo,WFWENAPH7O1,United Arab Bank,UABUMEAPCIA,89255.31,GBP,MT202,2016,Incoming,Loan Disbursement,North America,Middle East,MT
535,Abu Dhabi Commercial Bank,ADCBMEAD03P,Standard Chartered,SCSTSAJOP2N,87705.31,GBP,MT202,2021,Incoming,Retail Payment,Middle East,Central Asia,MT
536,BNP Paribas,BPBNSAGC7SV,Dubai Islamic Bank,DIBDMEA5E82,94273.75,EUR,MT950,2022,Incoming,Investment,South Asia,Middle East,MT
537,Mashreq Bank,MBMAMEAE4ZY,Emirates NBD,ENEMMEA6RXO,13323.62,USD,MT950,2018,Outgoing,Loan Disbursement,Middle East,Middle East,MT
538,Mashreq Bank,MBMAMEAE4ZY,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,31287.93,EUR,MT760,2022,Incoming,Investment,Middle East,Middle East,MT
539,First Abu Dhabi Bank,FADBMEA2699,Abu Dhabi Commercial Bank,ADCBMEAD03P,1840.71,CNY,MT202,2020,Outgoing,FX Settlement,Middle East,Middle East,MT
540,Emirates NBD,ENEMMEA6RXO,Commercial Bank of Dubai,CBODMEA7WUU,181387.14,AED,MT799,2019,Incoming,Corporate Payment,Middle East,Middle East,MT
541,Morgan Stanley,MSMOAFSRT5V,Dubai Islamic Bank,DIBDMEA5E82,63107.95,EUR,MT950,2021,Outgoing,Retail Payment,Africa,Middle East,MT
542,Bank of China,BOCBLAUE3HB,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,4372.93,USD,MT940,2020,Outgoing,Retail Payment,Latin America,Central Asia,MT
543,Standard Chartered,SCSTSAJOP2N,Sharjah Islamic Bank,SIBSMEAWAQ7,60584.71,GBP,MT940,2023,Outgoing,Treasury Operations,South Asia,Middle East,MT
544,Morgan Stanley,MSMOAFSRT5V,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,245600.47,USD,MT940,2023,Incoming,Trade Finance,Africa,Middle East,MT
545,UBS,UBSXCAE3O4P,First Abu Dhabi Bank,FADBMEA2699,161003.5,EUR,MT202,2022,Incoming,Retail Payment,Caribbean,Middle East,MT
546,Deutsche Bank,DBDEAFDWKG7,RAK Bank,RBRAMEAANF7,32392.95,USD,MT760,2015,Outgoing,Treasury Operations,Africa,Middle East,MT
547,Standard Chartered,SCSTSAJOP2N,National Bank of Fujairah,NBOFMEAE56L,20077.47,USD,MT950,2016,Outgoing,Investment,South Asia,Middle East,MT
548,UBS,UBSXCAE3O4P,Abu Dhabi Islamic Bank,ADIBMEAAD1L,45214.01,USD,MT760,2023,Outgoing,Treasury Operations,Caribbean,Middle East,MT
549,Standard Chartered,SCSTSAJOP2N,Sharjah Islamic Bank,SIBSMEAWAQ7,12467.66,USD,MT940,2018,Incoming,Loan Disbursement,South Asia,Middle East,MT
